Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
48584,48589,Nirengeki SHODA,Mines,Male,Grey,18.091,9.072,Black,February 2,O,"Superpowers, High School Students, Teenagers",92,54,Unknown,https://www.anime-planet.com/characters/nirengeki-shoda,146.0,
37099,37101,Taki KAMATE,Kamate-Sensei,Female,Blonde,13.654,36.034,Unknown,Unknown,Unknown,"Adults, Teachers",139,7,Unknown,https://www.anime-planet.com/characters/taki-kamate,146.0,9776.0
11609,11611,Sally PO,Unknown,Female,Brown,15.041,16.571,Unknown,Unknown,Unknown,"Adults, Doctors, Mecha Pilots, Military",122,24,Unknown,https://www.anime-planet.com/characters/sally-po,146.0,90.0
17942,17944,Oscar WEBSTER,Unknown,Male,Red,13.534,46.218,Green,Unknown,Unknown,"Writers, Widows, Glasses, Facial Hair, Adults",141,5,Unknown,https://www.anime-planet.com/characters/oscar-webster,146.0,33352.0
15631,15633,Mato KATORI,Unknown,Female,Brown,13.242,93.274,Unknown,Unknown,Unknown,"Adults, Ponytail, Teachers",145,1,Unknown,https://www.anime-planet.com/characters/mato-katori,146.0,31771.0
33691,33693,Edmaris FALMUTH,Unknown,Male,Grey,99.436,3.625,Unknown,Unknown,Unknown,"Royalty, Facial Hair, Crowns",3,143,Unknown,https://www.anime-planet.com/characters/edmaris-falmuth,146.0,
29870,29872,Shira,Unknown,Male,Grey,14.896,17.943,Unknown,Unknown,Unknown,"Bandages, Ninja, Scars, Tattoos",124,22,Unknown,https://www.anime-planet.com/characters/shira-naruto-shippuden,146.0,
22793,22795,Aihi,Unknown,Female,Blue,14.267,22.783,Unknown,Unknown,Unknown,"Scientists, Youkai",131,15,Unknown,https://www.anime-planet.com/characters/aihi-kekkaishi,146.0,40347.0
29958,29960,Naoto KAGAMI,Unknown,Male,Black,16.133,12.511,Unknown,Unknown,Unknown,"Adults, Ninja, Sharp Teeth, Terrorists",110,36,Unknown,https://www.anime-planet.com/characters/naoto-kagami,146.0,
28221,28223,Budou Kiba,Osen,Female,Brown,17.247,10.079,Unknown,Unknown,Unknown,"Flirts, Thieves, Heavy Drinkers",99,47,Unknown,https://www.anime-planet.com/characters/budoukiba,146.0,205.0
47271,47276,Princess Starla,Unknown,Female,Blonde,15.762,13.557,Unknown,Unknown,Unknown,"Royalty, Rosy Cheeks, Pointy Ears",114,32,Unknown,https://www.anime-planet.com/characters/princess-starla,146.0,
16158,16160,Maho NITORI,Unknown,Female,Brown,25.08,5.621,Unknown,Unknown,Unknown,"Hot-Headed, Models",54,92,Unknown,https://www.anime-planet.com/characters/maho-nitori,146.0,8426.0
3995,3995,Touma AMAGASE,Unknown,Male,Brown,15.861,13.266,Unknown,Unknown,Unknown,"Hair Antenna, Hot-Headed, Idols, Teenagers",113,33,Unknown,https://www.anime-planet.com/characters/touma-amagase,146.0,
13635,13637,Jaehee KANG,Unknown,Female,Brown,13.396,63.157,Unknown,Unknown,Unknown,"Adults, Glasses",143,3,Unknown,https://www.anime-planet.com/characters/jaehee-kang-invitation-of-mystic-messenger,146.0,
26555,26557,Numa SEIKA,Unknown,Male,Black,26.633,5.366,Unknown,Unknown,Unknown,"Analytical, Armor, Capes, Helmets, Lancers, Royalty, Warriors",49,97,Unknown,https://www.anime-planet.com/characters/numa-seika,146.0,22199.0
26574,26576,Shihandai,Iokal's Guard,Male,Blonde,48.543,3.968,Unknown,Unknown,Unknown,"Armor, Martial Artists, Ponytail",16,130,Unknown,https://www.anime-planet.com/characters/shihandai,146.0,22199.0
