ID,CharName,Gender,HairColor,Tags,Description,url,MAL_ID
0,L,Male,Black,"Analytical,Barefoot,Detectives,EyeBags,SweetTooth","Secretive, meticulous and cunning, L's desire to win coupled with his intellect give him the reputation of being the best detective in the world. His disheveled and childish exterior masks his sharp and analytical mind, throwing off his adversaries. Reclusive and paranoid, L solves his cases by communicating with the outside world via his assistant Watari and a computer with voice scrambler. L has a sweet tooth, and can often be found crouching instead of sitting normally while snacking on cakes. He is adept at mind games and much like a child, is willing to do almost anything to win, aided by his mysterious, impassive expression and his monotonous voice, which make him impossible to read.",https://www.anime-planet.com/characters/l-death-note,1535.0
98,Kakashi HATAKE,Male,Grey,"Adults,Anti-GravityHair,Beastmasters,ExoticEyes,Gloves,Headbands,Masks,Ninja,Scars","Kakashi is a jounin ninja from Konoha who is known as a prodigy of his age after attaining his current rank at a young age. He was formerly part of the elite ANBU unit, but now he leads team Kakashi, teaching Naruto , Sasuke and Sakura . Though he appears to have a carefree attitude, often arriving late or reading ‘Make Out Tactics’, Kakashi is incredibly powerful in battle and his use of the sharingan has earned him the nickname of the ‘Copy Ninja’.",https://www.anime-planet.com/characters/kakashi-hatake,34566.0
348,Light YAGAMI,Male,Brown,"Analytical,BigEgo,Charismatic,GodComplex,Manipulative,Ruthless,SecretIdentity","Armed with the power of Ryuk's Death Note, Light Yagami is cold, calculating and self-righteous to the extreme, believing that he alone is able to rid the world of corruption and evil. With precisely-calculated moves, Light strategically manipulates friends and foes alike, no matter who he hurts – or kills – along the way. Above all else, Light's supreme confidence fuels his ongoing obsession with defeating L , his intellectual equal and rival. Always secretive as to his true identity, Light is known simply as 'Kira' to the rest of the society – including his father , a detective assigned to investigate the ongoing, high profile murders.",https://www.anime-planet.com/characters/light-yagami,1535.0
279,Naruto UZUMAKI,Male,Blonde,"Beastmasters,FaceMarkings,Headbands,Hot-Headed,Ninja,Orphans,VerbalTic","Naruto is a young ninja with a single dream: that he will one day become the greatest shinobi in the village. When he was young the Fourth Hokage sealed the nine-tailed demon fox within Naruto, and as a result he holds within him incredible power. Though he is not naturally talented or particularly intelligent, Naruto has the determination to succeed and works harder than anyone to achieve his goal. He has a particular like for eating ramen and utilising the Sexy technique jutsu on any unwilling male, but despite his laid-back and goofy attitude he cares deeply about his friends and would do anything to protect them.",https://www.anime-planet.com/characters/naruto-uzumaki,35072.0
103,Edward ELRIC,Male,Blonde,"Alchemists,ArmBlades,ArtificialLimbs,Braids,Gloves,HairAntenna,Hot-Headed,Military,Ponytail,Teenagers","Known as a prodigy and one of the strongest alchemists in his world, Edward lived a sheltered life until the death of his mother as he reached the age of ten. Upon trying to resurrect her both Edward and his brother, Alphonse suffered a tragic accident and now journey together on a search to find a cure. Edward is an incredibly strong individual, capable of fighting to the death and withstanding all forms of pain, but he is also fiercely loyal and caring to those he loves. However he is still a child at heart, and always maintains a sense of humour along with a boyish height complex.",https://www.anime-planet.com/characters/edward-elric,121.0
310,Kirito,Male,Black,"PersoninaStrangeWorld,SwordFighters,Teenagers,VideoGamers,Warriors","Kirito is one of 10,000 players trapped in the MMORPG known as Sword Art Online. He's recognized as a “Beater” to others for having restricted beta access before the death game started, and is harshly criticized for this unfair advantage. The skilled swordsman has condemned himself to a life of solitude as a result, and is determined to stay alive and reach Floor 100 to clear the game. Though he refuses to join a guild and has made enemies along the way, Kirito also has gained several allies: Asuna , who he briefly partnered with, and Klein , a newbie player he helped train at the start of the game. Unlike the majority of Sword Art Online's players who only look out for themselves, Kirito lends a hand to those in need.",https://www.anime-planet.com/characters/kirito,11757.0
155,Ryuk,Male,Black,"AgentsoftheAfterlife,Anti-GravityHair,Immortal,Piercings,SharpTeeth,Shinigami,Wings",Unknown,https://www.anime-planet.com/characters/ryuk,1535.0
100,Sasuke UCHIHA,Male,Black,"ElementalPowers,ExoticEyes,FirePowers,LightningPowers,Ninja,Orphans,Vengeful","Sasuke is a genius young ninja who graduated at the top of his class from the Konoha Academy. He is the last surviving member of his family, the Uchiha clan, except for his older brother, Itachi . Sasuke is driven by his hatred for Itachi, his desire for revenge, and his intention to kill his sibling. Though his cool demeanour and egotistical confidence in himself means that he doesn’t seem particularly social, Sasuke cares about his friends.",https://www.anime-planet.com/characters/sasuke-uchiha,34566.0
109,Itachi UCHIHA,Male,Black,"Beastmasters,CombatIllusionists,ExoticEyes,Headbands,Ninja,Ponytail,Stoic","Itachi is a former Konoha ninja and elder brother of Sasuke , but now he works for Akatsuki. Before leaving Konoha, Itachi was thought of as a genius of his generation and was one of the youngest members of ANBU, but went missing after commiting an atrocious crime. He is proficient in all forms of ninja arts having mastered all of the Uchiha clan techniques. He also possesses the Sharingan and his ability to wield its power far exceeds that of Kakashi .",https://www.anime-planet.com/characters/itachi-uchiha,20.0
120,Natsu DRAGNEEL,Male,Pink,"Scarves,Orphans,MagicUsers,Hot-Headed,FirePowers,EternalOptimists,ElementalPowers,BigEaters","Natsu is a fire-based wizard from the Fairy Tail guild who has the nickname of ‘The Salamander’. He has a rather large appetite, so he can often be found eating. Though Natsu is freakishly powerful, his biggest weakness is transportation and he tends to get extreme motion sickness that puts him out of commission. Natsu travels around with his companion, Happy , searching for Igneel , the dragon who raised the young magician – that is, when he’s not fighting with Gray .",https://www.anime-planet.com/characters/natsu-dragneel,6702.0
